opcode	uso	fichero	linea	contexto	nota
hhf	push	Jondo.Unity.Launcher/Handlers/InventoryHandler.cs	254	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/hhf", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
hhf	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	37	public static byte[] BuildHhfMessage() => BuildSingleVarIntMessage("type.ankama.com/hhf", 2);	TransitionPacketsBuilder.BuildSingleVarIntMessage(uri, n)
hhh	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
hhh	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	305	case "hhh": return ("World Loading", "Interfaces", "SocialGroupDetails (Descriptive sheet of the guild)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hhh	descartado	Jondo.Unity.Protocol/TypeRegistry.cs	18	Register("hhh", hhh.Descriptor);	DESCARTADO: TypeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto
hhh	push	Jondo.Unity.Launcher/Handlers/InventoryHandler.cs	263	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/hhh", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
hhh	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	38	public static byte[] BuildHhhMessage() => BuildSingleVarIntMessage("type.ankama.com/hhh", 2);	TransitionPacketsBuilder.BuildSingleVarIntMessage(uri, n)
hhi	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
hhi	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	307	case "hhi": return ("World Loading", "Interfaces", "SocialGroupAlliance (Sheet of the alliance)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hhi	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	22	public static byte[] BuildHhiMessage() => BuildEmptyMessage("type.ankama.com/hhi");	TransitionPacketsBuilder.BuildEmptyMessage(uri)
hhq	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
hhq	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	282	case "hhq": return ("World Loading", "Interfaces", "SocialGroupPackets (Guild and alliance information)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hhq	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	111	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/hhq", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
hhy	push	Jondo.Unity.Launcher/Handlers/WardrobeHandler.cs	137	ConnectionProtocol.Push("hhy", ConnectionProtocol.BuildTitlesOwned(	ConnectionProtocol.Push("xxx", ...)
hhy	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	112	"hhy", "lyt",	lista de privacidad WorldEntry.NotReplayed; se usa en ReadPayload(message, opcode) en WorldEntry.cs:359
hid	push	Jondo.Unity.Launcher/Handlers/WardrobeHandler.cs	119	ConnectionProtocol.Push("hid", ConnectionProtocol.BuildTitleUpdated(title)));	ConnectionProtocol.Push("xxx", ...)
hie	push	Jondo.Unity.Launcher/Handlers/EquipmentHandler.cs	86	ConnectionProtocol.Push("hie", Pb.New().Var(1, 2).Build()));	ConnectionProtocol.Push("xxx", ...)
hif	push	Jondo.Unity.Launcher/Handlers/WardrobeHandler.cs	121	ConnectionProtocol.Push("hif", ConnectionProtocol.BuildOrnamentUpdated(ornament)));	ConnectionProtocol.Push("xxx", ...)
hii	push	Jondo.Unity.Launcher/Handlers/EquipmentHandler.cs	88	ConnectionProtocol.Push("hii", Pb.New().Var(1, 2).Build()));	ConnectionProtocol.Push("xxx", ...)
hjc	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	559	else if (payloadStr.Contains("type.ankama.com/hjc"))	comparacion de cadena sobre el frame recibido
hjc	read	Jondo.Unity.Launcher/Handlers/ZaapTravelHandler.cs	125	byte[]? hjc = ConnectionProtocol.ReadPayload(payload, "hjc");	ConnectionProtocol.ReadPayload(frame, "xxx")
hjj	push	Jondo.Unity.Launcher/Handlers/ZaapTravelHandler.cs	106	ConnectionProtocol.Push("hjj", ConnectionProtocol.BuildZaapList(here, destinations)));	ConnectionProtocol.Push("xxx", ...)
hjk	push	Jondo.Unity.Launcher/Network/ConnectionProtocol.cs	1516	=> Push("hjk", Pb.New().Packed(1, new long[] { mapId }).Build());	ConnectionProtocol.Push("xxx", ...)
hke	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
hke	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	270	case "hke": return ("World Loading", "Interfaces", "ServerWelcomeMessage (Welcome message and news of the day)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hmd	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
hmd	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	318	case "hmd": return ("World Loading", "Inventory", "InventoryWeightMessage (Inventory carry pods)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hmd	descartado	Jondo.Unity.Launcher/TransitionPayloads.cs	49	public static readonly byte[] hmd = new byte[] {	DESCARTADO: array de TransitionPayloads que no referencia nadie
hmd	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	687	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/hmd", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
hmj	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
hmj	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	288	case "hmj": return ("World Loading", "Interfaces", "SocialGroupStatus (The player's guild status)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hmj	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	15	public static byte[] BuildHmjMessage() => BuildEmptyMessage("type.ankama.com/hmj");	TransitionPacketsBuilder.BuildEmptyMessage(uri)
hml	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
hml	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	283	case "hml": return ("World Loading", "Interfaces", "SocialPreferences (The player's social settings)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hml	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	13	public static byte[] BuildHmlMessage() => BuildEmptyMessage("type.ankama.com/hml");	TransitionPacketsBuilder.BuildEmptyMessage(uri)
hms	push	Jondo.Unity.Launcher/Handlers/CommandHandler.cs	369	ConnectionProtocol.Push("hms",	ConnectionProtocol.Push("xxx", ...)
hms	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	308	if (ConnectionProtocol.ReadPayload(frame, "hms") != null)	ConnectionProtocol.ReadPayload(frame, "xxx")
hms	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	310	return ConnectionProtocol.Push("hms",	ConnectionProtocol.ReadPayload(frame, "xxx")
hmt	descartado	Jondo.Unity.Protocol/TypeRegistry.cs	19	Register("hmt", hmt.Descriptor);	DESCARTADO: TypeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto
hmt	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	170	if (payloadStr.Contains("type.ankama.com/lqu") || payloadStr.Contains("type.ankama.com/hoy") || payloadStr.Contains("type.ankama.com/hmt") || payloadStr.Contains("type.ankama.com/knx"))	comparacion de cadena sobre el frame recibido
hmt	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	238	else if (!isAuthenticated && (payloadStr.Contains("type.ankama.com/hmt") || payloadStr.Contains("type.ankama.com/ise") || payloadStr.Contains("type.ankama.com/jtk") || payloadStr.Contains("type.ankama.com/knx") || payloa	comparacion de cadena sobre el frame recibido
hmt	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	565	else if (isAuthenticated && payloadStr.Contains("type.ankama.com/hmt"))	comparacion de cadena sobre el frame recibido
hmt	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	830	cleanPayload.Contains("hmt") || cleanPayload.Contains("lxi") || cleanPayload.Contains("jqf") ||	comparacion de cadena sobre el frame recibido
hmt	read	Jondo.Unity.Launcher/Handlers/SpellHandler.cs	27	byte[]? hmt = ConnectionProtocol.ReadPayload(payload, "hmt");	ConnectionProtocol.ReadPayload(frame, "xxx")
hmv	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	321	case "hmv": return ("World Loading", "Chat", "ChatChannelsListRequest (Request for the chat channels)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hmv	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	673	else if (payloadStr.Contains("type.ankama.com/hmv"))	comparacion de cadena sobre el frame recibido
hng	push	Jondo.Unity.Launcher/Handlers/SpellHandler.cs	67	ConnectionProtocol.Push("hng", ConnectionProtocol.BuildSpellSwapped(wanted, grade)));	ConnectionProtocol.Push("xxx", ...)
hnk	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
hnk	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	322	case "hnk": return ("World Loading", "Chat", "ChatChannelsListMessage (Available chat channels)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hnk	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	42	public static byte[] BuildHnkMessage() => BuildSingleVarIntMessage("type.ankama.com/hnk", 2);	TransitionPacketsBuilder.BuildSingleVarIntMessage(uri, n)
hnk	push	Jondo.Unity.Launcher/TransitionPayloads.cs	66	public static readonly byte[] hnk = new byte[] {	opcode dentro de un array de bytes (TransitionPayloads.hnk/kqmList/ith); se manda tal cual
hnn	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	833	cleanPayload.Contains("kmv") || cleanPayload.Contains("hnn"))	comparacion de cadena sobre el frame recibido
hnp	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	241	case "hnp": return ("Server List", "Sync", "SystemConfiguration (Game variable configuration)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hnp	push	Jondo.Unity.Launcher/Handlers/CharacterSelectionHandler.cs	120	byte[] frame557 = NetworkEnvelope.ConvertHexStringToByteArray("19-1A-17-0A-15-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63-6F-6D-2F-6B-6F-66-24-1A-22-0A-20-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63	opcode escondido en cadena hex; la trama se escribe en el socket
hnq	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
hnq	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	290	case "hnq": return ("World Loading", "Sync", "SpouseStatusMessage (Marital status / marriage)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hnq	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	189	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/hnq", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
hnv	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	245	case "hnv": return ("Server List", "Connection", "ServerOptionalFeatures (Optional features)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hnv	push	Jondo.Unity.Launcher/Handlers/CharacterSelectionHandler.cs	120	byte[] frame557 = NetworkEnvelope.ConvertHexStringToByteArray("19-1A-17-0A-15-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63-6F-6D-2F-6B-6F-66-24-1A-22-0A-20-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63	opcode escondido en cadena hex; la trama se escribe en el socket
hol	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	100	"kqg", "jhe", "jhh", "jhk", "hol", "jgu", "ihb", "koj", "ife", "jjs", "jaa",	lista de privacidad WorldEntry.NotReplayed; se usa en ReadPayload(message, opcode) en WorldEntry.cs:359
hoy	descartado	Jondo.Unity.Protocol/OpcodeRegistry.cs	17	public const string GameServerHello = "hoy";	DESCARTADO: OpcodeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto
hoy	despacho	Jondo.Unity.Launcher/Handlers/FightHandler.cs	1043	else if (payloadStr.Contains("type.ankama.com/hoy"))	comparacion de cadena sobre el frame recibido
hoy	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	170	if (payloadStr.Contains("type.ankama.com/lqu") || payloadStr.Contains("type.ankama.com/hoy") || payloadStr.Contains("type.ankama.com/hmt") || payloadStr.Contains("type.ankama.com/knx"))	comparacion de cadena sobre el frame recibido
hoy	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	238	else if (!isAuthenticated && (payloadStr.Contains("type.ankama.com/hmt") || payloadStr.Contains("type.ankama.com/ise") || payloadStr.Contains("type.ankama.com/jtk") || payloadStr.Contains("type.ankama.com/knx") || payloa	comparacion de cadena sobre el frame recibido
hoy	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	792	|| payloadStr.Contains("type.ankama.com/hoy"))	comparacion de cadena sobre el frame recibido
hoy	push	Jondo.Unity.Launcher/Network/ConnectionProtocol.cs	199	Push("hoy", BuildHoy()),	ConnectionProtocol.Push("xxx", ...)
hoy	push	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	172	byte[] hoyFrame = NetworkEnvelope.ConvertHexStringToByteArray("1D-1A-1B-0A-19-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63-6F-6D-2F-68-6F-79-12-04-08-1E-10-01");	opcode escondido en cadena hex; la trama se escribe en el socket
hpd	push	Jondo.Unity.Launcher/Network/ConnectionProtocol.cs	203	Push("hpd", Pb.New().Var(1, 1).Build()),	ConnectionProtocol.Push("xxx", ...)
hqa	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	782	else if (payloadStr.Contains("type.ankama.com/hqa"))	comparacion de cadena sobre el frame recibido
hqa	read	Jondo.Unity.Launcher/Network/FightProtocol.cs	65	byte[]? hqa = ConnectionProtocol.ReadPayload(payload, "hqa");	ConnectionProtocol.ReadPayload(frame, "xxx")
ibo	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
ibo	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	287	case "ibo": return ("World Loading", "Interfaces", "ShortcutBarContentMessage (Quick spell bar)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
ibo	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	318	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/ibo", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
ibt	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	324	case "ibt": return ("World Loading", "Sync", "GameReadyTrigger (Request to hand over control of the game)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
ibt	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	699	else if (payloadStr.Contains("type.ankama.com/ibt"))	comparacion de cadena sobre el frame recibido
icb	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
icb	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	268	case "icb": return ("World Loading", "Character", "CharacterStatsListMessage (Combat state and base stats)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
icg	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
icg	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
icg	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
icg	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	286	case "icg": return ("World Loading", "Inventory", "InventoryWeightMessage (Inventory carry pods)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
icg	descartado	Jondo.Unity.Launcher/TransitionPayloads.cs	88	new byte[] { 0x1A, 0x31, 0x0A, 0x2F, 0x0A, 0x13, 0x74, 0x79, 0x70, 0x65, 0x2E, 0x61, 0x6E, 0x6B, 0x61, 0x6D, 0x61, 0x2E, 0x63, 0x6F, 0x6D, 0x2F, 0x69, 0x63, 0x67, 0x12, 0x18, 0x0A, 0x16, 0x1A, 0x11, 0	DESCARTADO: array de TransitionPayloads que no referencia nadie
icg	descartado	Jondo.Unity.Launcher/TransitionPayloads.cs	89	new byte[] { 0x1A, 0x31, 0x0A, 0x2F, 0x0A, 0x13, 0x74, 0x79, 0x70, 0x65, 0x2E, 0x61, 0x6E, 0x6B, 0x61, 0x6D, 0x61, 0x2E, 0x63, 0x6F, 0x6D, 0x2F, 0x69, 0x63, 0x67, 0x12, 0x18, 0x0A, 0x16, 0x1A, 0x11, 0	DESCARTADO: array de TransitionPayloads que no referencia nadie
icg	descartado	Jondo.Unity.Launcher/TransitionPayloads.cs	90	new byte[] { 0x1A, 0x31, 0x0A, 0x2F, 0x0A, 0x13, 0x74, 0x79, 0x70, 0x65, 0x2E, 0x61, 0x6E, 0x6B, 0x61, 0x6D, 0x61, 0x2E, 0x63, 0x6F, 0x6D, 0x2F, 0x69, 0x63, 0x67, 0x12, 0x18, 0x0A, 0x16, 0x1A, 0x11, 0	DESCARTADO: array de TransitionPayloads que no referencia nadie
icg	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	270	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/icg", ms.ToArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
icw	descartado	Jondo.Unity.Launcher/BasePayloads.cs	11	public static readonly byte[] OriginalImd = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
icw	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
icw	descartado	Jondo.Unity.Launcher/Handlers/CharacterSelectionHandler.cs	46	/// NOTE: the former target "icw" is NOT the inventory — the official icw payload carries	FALSO POSITIVO: el literal esta dentro de un comentario
icw	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	275	case "icw": return ("World Loading", "Inventory", "InventoryContentMessage (Full inventory - 180 items)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
idf	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
idf	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	308	case "idf": return ("World Loading", "Inventory", "InventoryPreview (Quick preview of the items)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
idf	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	23	public static byte[] BuildIdfMessage() => BuildEmptyMessage("type.ankama.com/idf");	TransitionPacketsBuilder.BuildEmptyMessage(uri)
ids	descartado	Jondo.Unity.Launcher/Managers/Archimonsters.cs	115	/// <paramref name="ids"/> is the group as the database has it and comes back trimmed:	FALSO POSITIVO: el literal esta dentro de un comentario
ife	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	100	"kqg", "jhe", "jhh", "jhk", "hol", "jgu", "ihb", "koj", "ife", "jjs", "jaa",	lista de privacidad WorldEntry.NotReplayed; se usa en ReadPayload(message, opcode) en WorldEntry.cs:359
igs	push	Jondo.Unity.Launcher/Handlers/FightHandler.cs	752	return BuildGameNodePacket("type.ankama.com/igs", Array.Empty<byte>());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
igs	push	Jondo.Unity.Launcher/Handlers/FightHandler.cs	839	await WriteFrameAsync(stream, BuildGameNodePacket("type.ankama.com/igs", Array.Empty<byte>()));	NetworkEnvelope.BuildGameNodePacket(uri, ...)
igx	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	732	else if (payloadStr.Contains("type.ankama.com/kkr") || payloadStr.Contains("type.ankama.com/jqf") || payloadStr.Contains("type.ankama.com/igx"))	comparacion de cadena sobre el frame recibido
ihb	read	Jondo.Unity.Launcher/Network/WorldEntry.cs	100	"kqg", "jhe", "jhh", "jhk", "hol", "jgu", "ihb", "koj", "ife", "jjs", "jaa",	lista de privacidad WorldEntry.NotReplayed; se usa en ReadPayload(message, opcode) en WorldEntry.cs:359
ijq	push	Jondo.Unity.Launcher/Handlers/FightHandler.cs	397	await WriteFrameAsync(stream, ConnectionProtocol.Push("ijq",	ConnectionProtocol.Push("xxx", ...)
ilc	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
ilc	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	316	case "ilc": return ("World Loading", "Sync", "ServerSettingsMessage (Regional settings of the server)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
ilc	descartado	Jondo.Unity.Launcher/TransitionPayloads.cs	33	public static readonly byte[] ilc = new byte[] {	DESCARTADO: array de TransitionPayloads que no referencia nadie
ilc	descartado	Jondo.Unity.Protocol/TypeRegistry.cs	20	Register("ilc", ilc.Descriptor);	DESCARTADO: TypeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto
ilc	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	51	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/ilc", payload);	NetworkEnvelope.BuildGameNodePacket(uri, ...)
imd	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
imd	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	264	case "imd": return ("World Loading", "Inventory", "InventoryWeightMessage (Basic initialization of the inventory weight)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
ioc	push	Jondo.Unity.Launcher/Handlers/NpcHandler.cs	158	ConnectionProtocol.Push("ioc", ConnectionProtocol.BuildNpcDialog(mapId, npc.ContextualId)));	ConnectionProtocol.Push("xxx", ...)
iom	descartado	Jondo.Unity.Protocol/OpcodeRegistry.cs	27	public const string MapInformationsRequest = "iom";	DESCARTADO: OpcodeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto
ios	push	Jondo.Unity.Launcher/Handlers/NpcHandler.cs	161	ConnectionProtocol.Push("ios", ConnectionProtocol.BuildNpcQuestion(	ConnectionProtocol.Push("xxx", ...)
iov	despacho	Jondo.Unity.Launcher/Network/GameNodeProxy.cs	763	else if (payloadStr.Contains("type.ankama.com/iov"))	comparacion de cadena sobre el frame recibido
