compressedCoords,x,y,mapIds
0,0,0,153888002;161613060;54182221;224397057;75631362;237905967;237783092;237764614;237774854;237898786;54157626;237768704;168691714;162793482;215746316;237768743;54154558;54178129;169350151;116657671;130941697;54179104;90836227;233312256;233312264;235143429;221644804;68558852;227283972;166988806;185993216;236453891;104990211;97388033;237771815;237776909;237776922;237765686;237899795;237774856;237768764;237774902;237773878;237769780;237896723;63442689;183767059;218630150;68556806;215878406;56886019;173937669;56099844;186393088;76422659;237910048;237767732;237774908;237779002;237771821;158993416;237775887;57022981;83232260;83232256;126878467;237903917;241439749;189268481;215878412;1541;153886720;161089540;232654341;96211978;96207882;149426180;198184964;201198597;198184960;196347394;75767299;75766279;189925385;156898816;169345031;60040197;49020928;198184966;149425156;201198596;144839680;235407360;135401217;59516420;91755521;201588745;201197572;75769347;75769353;237767706;237899810;237790208;237908000;75767305;66197764;54181197;54154582;169216010;231998724;231999746;54179145;233313282;171185154;41947137;142852;175115523;184945665;41947395;68556802;160008;34344194;13;41947139;106430470;110898689;59515396;149777;144971780;94110726;166725378;161613066;119277065;232001796;233319426;147720192;84545281;233317384;233310210;233319434;208146438;119276041;22546948;208144390;107224068;149779;34344198;34343936;237777935;207621379;222300164;162004996;237768751;104991233;126619908;150210568;240390146;169349127;68557058;172234767;197396486;237777926;237769741;237765684;237774850;237793332;237785148;237909037;237777933;237764634;237773826;237773843;237770812;237768712;237778952;237771810;237770771;237765692;237775898;237898758;237770797;237774900;237770804;237785639;218632198;134228228;218631174;183768323;200804358;169869314;137371395;57019913;224791303;195303940;217059341;173021191;172886020;57020933;76422665;156638209;57024005;139729156;166989830;76420615;224791305;76418569;100273414;158468104;87295499;106826242;57021961;193727497;57019911;219940870;197266434;84806923;180617223;219938824;219938826;220071944;202900996;224920590;165284874;107483140;220727815;66198788;232653315;165284872;199756806;167250949;75766273;122686210;88089858;176819463;88216577;213912838;101190660;180488706;101191684;188749313;182327303;182323209;237773876;237911098;237903891;237764623;200018944;237904930;237772819;237778965;237772826;237902856;237778957;237769762;237764610;75765255;88217869;88216843;68558854;34344196;209324295;201199621;198184968;201589771;88216833;156240394;54154566;169216012;54157654;71304194;169216014;129764358;198972422;240129539;171312642;213256196;116920322;204999431;72353796;72357892;157550597;171182089;213255168;213124104;233320452;233309188;218108930;168691724;233312270;168691718;232003844;233319424;233311236;233317376;233315330;135400965;198968326;203687425;231999490;183112712;59509770;57938435;94113798;106431494;57934339;235143171;175244802;184945667;175114499;184816643;11;184811533;224137222;184815107;68555778;68555782;210635266;75631364;99756801;25954306;72621060;235143169;216275212;227282946;104859397;204476416;128061965;203163654;104991237;104991239;104858373;203165702;104989185;104989187;237777920;128061961;97389059;237904928;97389063;211293194;222300162;207753736;207750664;74977026;207619088;189532173;211294468;211292164;99485200;26739716;131864580;207619331;237789236;237769786;237901832;237765658;237768749;237764647;237786637;237771791;237765690;237911072;237771784;237777959;237905980;237769788;237775919;237778991;237783053;237771817;237768717;142215686;237772845;237765671;237770799;237898799;237779004;241438725;166988808;169870338;84544007;183765251;183765011;200806400;183769350;63442433;137369347;137372419;57022983;57024011;195302661;195299336;195432964;55052294;195299343;89393158;157028357;89394182;109063168;5376259;173936645;5376257;130027523;62916614;157024261;163842307;98567691;202117634;156634115;154141190;195039234;156636417;156241418;156240392;54154578;54155582;76418567;174721540;153486338;84544257;237910037;237896736;237905939;237783040;237770784;237767695;237904954;237774869;237783066;237781031;159254274;233046016;150602752;206311424;208670726;87032328;87035398;62135820;76420611;190710784;224791299;76424715;224921614;224925186;147195904;72221700;224921608;54153534;232003842;126225160;54156614;205392131;99222533;107485188;232654345;156108802;99222029;99097089;99222031;99098121;99090957;99097097;54182217;170135050;96338954;117834755;106168322;114427401;66196482;170135046;96210956;199757830;132125441;77332993;212338700;146804740;77332995;149423108;188753409;213912836;188753411;182325255;180488712;139995143;75768325;88212247;144577536;169608196;176822273;222562308;222563338;222570504;88217882;88216851;66196480;144577540;176822019;222569486;164498962;222569478;199494662;126226190;232001540;231997698;54179149;147720200;54181201;54178125;54155565;54156618;54153550;71305216;71305220;71306242;54157642;169216000;173411329;201326592;71303168;54155590;71306246;54155586;71303170;54156585;231997700;174330372;111674626;153891078;64749572;163580420;130547716;153883906;198971398;161355786;161355780;233310212;90835971;204998153;171185156;197004290;116920320;213256200;186647811;104333831;213123080;72359940;201459970;213125130;233315336;213123084;157548549;213255174;112466185;104337927;213126144;213128198;213255178;162791450;213123082;126226188;233308170;233314312;136317444;112468233;232001794;233308160;144972036;138500;231998468;60040451;138242;169348103;153886978;189663240;104596999;110630401;153891074;94115846;185992198;187696644;224395264;5;184813581;34346246;185993224;153883910;184945671;34346248;145754629;208405510;237778950;227411968;235929604;104991241;166986760;209586690;237901830;26740740;153888004;172361986;149685252;153883908;128061959;121374214;216272140;181407240;237768723;211295492;99756547;237785146;211289100;237764608;211288070;158993410;99485194;99359744;177479690;237897786;99485190;237777941;192941570;96473088;22808582;107219972;237900832;237905952;237771828;237781044;237910022;237767682;237899784;237774893;237902867;237772860;237775891;237768719;237774889;237773832;237774867;237772858;237764660;237766677;237764666;237773839;237770793;237778998;237771797;237772802;237897728;237776928;237773884;104598023;106432518;144972034;240390150;200803334;200805382;193728519;220467204;220466180;61867016;136186880;235676931;57021959;205654022;230167053;223350546;223348504;195302408;195303942;150208772;153888768;59514372;110896641;145359879;109061120;89391110;173937415;5376001;5376003;5376005;59768832;82446336;173147140;132910084;132908036;225968648;145230859;168953864;202118658;76422663;76424707;76420613;224792329;179440130;215483398;225185798;225185801;195038210;195035138;207097864;210767110;156634369;153486342;187436038;171838980;98566667;63312900;190318598;112989184;121897226;98566671;112990208;96998925;179440132;237905928;237898797;237772815;237770752;237774895;237903932;237775917;237778989;237907989;237772806;237767708;159121420;233047298;230691341;59245570;131335176;59244546;87033350;131334152;155713542;168037376;62132748;62134530;168037384;168037382;220071942;197266440;220071938;225052674;219939846;171708936;224920588;23201027;224922883;172100623;224925188;101452546;99098123;183243787;156108804;101581835;118098432;99097091;99222531;99093254;99091206;174983176;183371277;129499140;167250953;156108808;221250819;237776943;237776956;237899836;237777967;237911074;237769736;237767686;237785600;237787674;237781018;237903904;237775911;84544003;237777939;158993408;237772821;237771836;237769760;237775926;237765638;237773871;237772834;237769775;237905954;237909052;237896764;237772839;237770767;142215684;237775913;237770758;237911085;237785152;237909050;237772854;237770778;237900819;237767714;237896738;237906976;235407620;75769345;196348416;196348418;222569488;222570514;199492614;222570512;88218627;222564356;222563332;222560260;164498958;222565380;222570502;222569480;88218891;222561284;54153542;54156606;232004868;184815109;68557830;41947141;184945669;68558082;68558850;224133126;201722115;188750339;91755525;170526720;201722113;170527746;182190087;21495814;204212224;182192135;201589765;201721857;182323207;204212226;139988488;201721861;204210435;54154554;54153530;54154562;232003584;54177056;126618884;104992257;104992259;87556096;104989189;128061957;161742852;56365316;104991235;152829956;237899821;104992263;209586696;227284228;204476422;237903906;56363268;237764655;22810630;142860;237241609;176817161;144577794;144839938;73537025;171445766;190848512;171446788;221644800;183507972;222300160;207751174;211292166;211288074;74979074;99358732;237768725;237910074;237767727;237766695;102765063;99485196;177474574;237764636;237908028;146675716;158993412;177473548;177471500;177603596;102761991;237766690;101187588;75765251;75767301;144839940;73538049;219680519;197660678;219678209;197659654;239087880;239087627;64620546;54155561;54157646;126225168;117834759;114427395;239088909;239088645;66586116;219679233;64620802;197657606;239077391;219680513;161225227;129763334;126225166;223219205;232000514;116656647;201852162;198969350;233310214;116654601;205129987;161355788;233318400;240652288;201853186;208932870;233321482;54155578;71303172;71306240;54153517;54154570;205129729;99750401;75631104;185993218;182061056;159122444;178652674;59245572;233178627;112728577;112727553;168037378;208666630;62260738;112728579;118230020;226497539;84806921;172623874;118231044;124126723;54156622;167250945;175900164;114427399;96206860;96210954;199230470;77334019;212343822;212339732;77334021;146804996;77332997;212336656;212343820;146805760;212343826;212340752;212340748;77336069;77335043;212337680;220992004;212340746;212337684;175899140;212341766;212338696;212338704;212337668;212339720;212339718;212339722;212339712;107218948;59517444;59510794;59506698;110629377;72622080;106433542;139593221;183507968;131729408;189533195;131729412;184945673;224396801;156898822;149775;175244804;142858;34344200;22806534;153888006;185992192;183108111;233309192;162793486;233318406;233315338;162793472;233310208;75768321;235407364;75765257;235407618;88217884;216929793;64753668;147720198;169216008;233311234;231998464;201850880;233308178;202378246;201458948;116655623;208928774;240129795;174329348;240129545;130941443;240657408;240129542;233316362;233318404;233311244;213126146;213124102;104335879;213256204;213123072;210242566;213125128;213124100;213123074;213123076;240648195;162791438;231997440;240653312;210239494;233311232;162793496;162795534;240661504;162791448;232000512;201199620;188752385;101188612;170526722;201588736;204213250;188751361;66198530;235407362;204215300;75769349;121769990;196347908;75766275;121769986;75767297;199493638;144577796;88090894;176822275;222563340;222566404;144837890;233309196;168691726;168691716;233312266;183112710;168691722;112464137;22675972;159652878;135400961;233312260;233317380;233318410;233318408;233308172;240390144;1543;231999748;218108932;218891270;208143366;183766275;136187140;139728132;148898562;200806402;134227970;200802304;137369350;200807424;200803328;200804352;200807426;220463108;232259586;95814659;186391040;176947204;192419844;177079300;235802112;136187144;97389065;207750670;207750668;99485198;207623427;99358726;207624451;237906950;177478664;146670596;180225538;198706182;177481734;237777972;146671620;237766701;237769767;84544001;184287243;169216004;117573632;169216002;71307266;232004610;129761286;71305218;231999492;173411587;208142342;233316356;143917573;232002564;183112716;231999488;233309186;112465161;22545412;181404931;159652872;144971778;173672966;218103812;218894342;150208520;121375238;197398534;173672964;181403907;173672960;189532169;153886980;99752705;153891076;140775428;208404486;110897665;59518470;94112774;173673218;221644806;153885958;161613068;57937411;104595977;94111750;94111752;123208708;104595975;221774342;123207684;131861250;57022985;57020931;207097860;207097856;179440136;122029320;157810947;210768134;171837956;206965764;174721794;121902344;122029322;206966018;206965766;170135042;165157383;232654337;117834753;26216450;232654593;199233542;165284878;232653313;66198790;199753734;212343824;146803712;212340740;146805762;165284880;212341772;212342796;212341778;212336644;167250947;212337682;212339728;212341762;212339714;212341768;212339730;212340754;66196740;212341776;212336652;212338694;212340744;224662273;230167055;147857409;207884294;223348500;195430920;172886022;195303936;195431942;195301391;172886024;195302659;54155606;54156630;54180173;156241416;54153546;124126727;232003586;205391875;183243780;205391873;99097093;99097095;183243778;163053573;183243776;183243783;183242499;183763987;84545025;237766664;56098820;134227972;215091716;168824844;214963971;173936391;215091714;202638340;82446338;17048835;132911108;210635264;149686276;197397510;185992196;123211780;153890052;172360962;215352834;215221253;101844483;140771332;181407236;237765673;237902908;237765677;237899834;237765664;237786663;237766710;237785154;237901845;237777952;237773837;237778983;237899797;197266436;85984774;219942918;23200768;171837954;23200771;66324484;219940874;66326532;224919564;67110147;190056706;224923910;156108806;224920584;224921616;236978435;209978374;182714372;224919560;149165062;88089870;88090898;88217607;190849536;73539331;239086597;64620804;239086861;219678471;88218625;88217857;219680257;197658630;219680517;239077639;219679495;156242440;201326850;171180041;233308166;69207043;213127176;157551621;213128196;213124096;213126154;213256198;213255176;233317382;213126148;213256194;181147652;213126152;210241542;162793480;142856;216533506;240654336;162791434;162793478;240648192;162795522;189925377;197004296;162791436;208407558;209586698;237781005;104860421;203164678;237909000;209459722;38667270;99754755;227280896;56362244;227283970;99756803;172234769;97388055;139593225;237785140;99752449;207752712;99353617;211292422;211290372;177477642;128061963;99358724;211295494;237909011;177477640;99485192;211289350;177481732;146672644;237771823;177473550;146674692;146673668;184292356;177481738;237904943;237910076;237903880;237776937;198709254;237767693;177479688;237775872;176555013;237907976;237773850;177481736;184292610;177471502;107216900;237780518;237897762;237902880;237777954;237905965;237905926;237774876;237768745;237767725;237897760;237909013;237765651;237908002;237770773;237776948;237764621;237766708;237900834;237766714;237896751;237772828;237766658;237906978;237774880;237902854;237773856;237773824;237897734;237770754;237910063;237769730;237769734;237768762;237777928;139593219;174070276;237910061;237777978;237774874;237785643;237786667;237775880;237900858;237769747;84545027;169872386;237766675;174065668;237777980;183506948;221644802;74186752;200805376;186394112;166990856;200803332;134228226;200802308;186390016;183762963;183764227;134227968;183768083;200803330;147859457;224792327;61868040;192419850;220465156;95689219;176950276;235680003;176949252;57021955;176948228;235675401;148636418;57022979;68555776;237775904;195297540;224791307;195298564;173147142;217062659;139728897;195304194;195299588;195301384;207880198;195433988;223348502;195430916;207882246;195429636;195302410;207883270;223348506;207881222;168953862;139727873;89394185;89392134;168953856;173801732;188219392;173021441;215091718;168953868;132907012;212861962;168953870;202640388;100273412;190711808;76421635;76423683;207097862;215484422;82446340;215482374;202247686;76423687;76421643;140513539;76424709;154273793;215486470;219152647;158468098;225181702;157814272;210767105;187433990;233048322;205654016;205654018;179440134;230429199;207097858;197921796;187435014;190448646;63313156;207357187;168953866;62918662;62914566;157025285;172886016;145359887;206311426;190316550;187437062;129370625;128974856;121902346;193464320;88607754;129371649;121896962;96998923;121902342;121903362;121903366;96997899;96994827;121903364;96996875;86377476;210767108;206965760;187959554;72089602;187959556;96996881;128975880;214438406;96998927;83232258;224792331;76424711;76418565;76420619;131336200;233050370;179178769;172623876;131337224;84805897;155718662;62131724;208668678;226495234;118228996;179176721;226493188;202901763;197266438;175769600;28185603;120195589;237773865;237771802;237776904;237909039;237903893;237778963;237901843;237775924;237906991;237908026;219942922;219938816;171838978;220071940;85985798;147195906;171837958;224921612;23071491;224923907;224922624;224923656;108790025;209977350;209981446;224923650;108923148;224922632;108923145;108923142;108922118;113252865;187959296;108790031;182455300;237769769;237896712;237776941;237911046;237777974;237771830;237769754;237772813;237908013;237904956;101450498;101453570;107481092;101581833;181665796;138150406;171837952;221250571;118099714;172100619;118098946;172100617;156108800;172100615;190187777;220725767;116392457;174983168;116392455;54157638;96207884;117834763;199229446;66197762;212341764;167383050;119018498;77335045;212341774;212338692;146804736;212338698;212337666;212337674;212337672;175901188;212342798;212336650;212336660;212338708;212336658;212338702;212337670;220990980;212340750;212341770;212336654;212340742;212336648;212339716;212337678;201068803;149424132;66197504;174983172;182454276;107484164;182191111;188752387;182326279;21498886;201721859;204211459;201590793;14423303;188487690;75766281;75768329;180488708;75768327;75765253;185993220;153889026;149684228;83889164;144577538;199491590;176817163;88089872;222569484;169609220;222570506;222569490;144839682;200281600;88217873;144839684;88089874;164498954;88217601;88218895;88212769;232000770;71303174;54175008;71304192;54178080;232002560;124126721;71304196;54153513;126226192;54154574;54155598;206179842;231997442;204998407;173411331;201853188;161224201;64751620;54153554;109062144;215091970;173801472;173938693;215091712;212994048;225972998;132909060;202641412;212862724;202637316;168953860;76422667;158468096;82446342;190710786;147856389;156636419;57279495;76421639;66197766;75768323;164498956;14423041;75765249;171447812;88217878;216929799;73539077;73538305;239086849;239085832;239077382;239086856;239089933;22282246;73539073;190843140;73537029;189925381;183505928;156898818;209324291;182322185;204210183;21499910;182322183;204213248;204213255;188614144;204213252;121769992;179568644;139996171;66196738;188614152;179571716;188482063;101189636;179570692;164498960;188614146;14423301;179572740;100273152;179440128;225182726;140516611;205654020;190711810;202117642;147860481;202117640;202117632;190317574;98567693;112989186;63313154;153486336;171837960;63312898;197920774;206311430;156634117;190449670;190319622;158468100;205129985;201851142;161355782;169216016;64752644;126225162;161355784;116654599;204997383;130941699;240128003;240651264;239611914;163582468;223219203;201458946;223219207;208931846;163579396;208930822;233316360;233311246;208929798;186779142;233314308;201198592;132125187;132125185;198184962;171447814;88218889;73538051;30803968;73539329;239085837;239089669;73538053;22284296;73537281;160433154;193334279;232654595;96338956;66198786;232653571;96206858;96208908;170135044;77334017;199231494;93849858;77335041;146803972;212342800;176030212;146806020;146805764;212338706;77336065;212336646;212336640;193334273;220990982;132125189;66198528;193334277;149427204;220992002;132125191;193334281;91755523;223870982;104861443;223873030;99750657;208406534;227285252;237906952;237902906;104992265;227284994;209459720;234094852;204476418;223872006;152834052;157287429;152830980;207750666;56364292;186392064;207620355;157286405;209585668;207628547;157288453;38667268;97389057;157290501;222300420;157289477;152833028;237769782;97388057;152836100;139593223;99750659;121374216;68556034;131858954;160956416;153890050;216274188;101844501;215223555;172361728;208408582;185992200;153887744;172362752;121373192;223874054;153884932;101844487;101844493;158082564;172233747;97389061;72621058;97388041;158082562;158082560;101844485;101844489;169610244;222570510;200280064;237240579;222560268;88218893;88090890;88080673;88217871;169607172;88219409;88218881;88217875;200279040;88216847;88218631;200279299;88090892;88217603;106434566;104599049;203426822;237764627;237764629;237896710;237767688;237767680;237901882;237773830;237775900;237788743;237768736;237910050;237776911;237767738;237896762;237766697;237901858;237767721;237778946;237766716;237900806;237767701;237772808;237910035;237777965;237764653;237775893;142215682;237768738;237778944;237897775;64225284;157027333;237774863;237911059;237773858;158993414;237776917;237766656;174064132;237900808;237772847;237787207;237787661;237776898;174068740;237900847;147858437;169873410;237911100;237774848;237775906;64228356;56102916;237903919;237907987;183243785;205391877;129501188;171838984;221382146;232654347;118098690;118099456;220729863;181668868;171708934;107482116;221254148;177210629;181667844;220729865;232653569;117834757;220726791;153884934;149688324;197395462;197394438;172233745;189532171;149687300;140773380;72622082;140774404;101844481;237778985;223875078;172363010;166985736;215352832;75631368;140772356;215221248;184815105;175116804;1549;22807558;224135174;68555780;203425798;7;68556800;68556804;0;131865604;161089794;75631366;1547;185993222;56100868;166987784;183769347;200804354;200802310;147859461;164890371;200802306;200805378;183763203;192419842;183895554;134350337;134351108;61869064;220464132;192419846;136187142;193726471;136187138;193727495;147858691;235673859;235678467;95815681;235673865;57019907;163319298;163321346;57024009;163320322;57019909;193730567;57020937;147856643;166985987;172234771;147856385;207751170;211288068;211292419;207751688;237767699;237775878;177480714;99358730;237776930;99358728;74976002;237771776;84414981;177472524;237772800;237768758;237907004;237769728;177482762;177474572;237775885;237907002;177603598;237787188;237764649;177483786;237899808;237783079;139593217;177482756;177478666;237776915;237908998;102760967;237897773;237765666;198708230;237767712;237768710;237770760;237765632;237771804;237769743;176422917;177480712;200018946;237787687;237906963;237772852;145492227;237765645;237764668;237785159;7080960;237908015;237905941;237904941;237775932;237770786;237787691;237773845;237765634;237904917;237771782;237897736;237768732;201589769;213913096;162267136;204212231;21496838;182324231;21497862;66197506;180488710;188749315;204214276;188614150;204211202;121769988;204212228;179569668;188484111;188614148;88090896;188615688;180488704;14423297;147860485;218628102;172623872;208669702;87034374;206311682;84806925;62260736;136839172;62260740;155715590;155717638;118227972;208667654;112727555;118226948;172623880;62133772;137101316;172623878;120195587;202900486;175769602;175769858;175769606;106957836;28184067;106954764;28185857;203032066;167513090;28185605;106958860;167511048;28185601;171838976;28185859;23071232;167514114;202903046;203033094;237900845;237786650;237899823;237765647;237776935;237773863;237770780;237777961;237897747;237771789;237769773;237778996;237904904;195037186;237774861;237766662;237773869;237786624;237896725;237904915;56101892;237765653;237770806;237774882;237901871;64227332;237903930;237905978;169871362;237774887;241440773;237776950;237901869;237904902;237909026;237785613;237764642;237898773;237775930;237767740;142215688;237900860;136577028;217065482;147859715;57021963;57024003;109060096;89395206;173940736;76418563;173021189;225968902;168953858;202639364;156636163;212863498;156634371;57150983;76421637;57154055;57152519;224791301;57155591;143393285;82446594;57149447;76418571;100273154;76419841;76422661;83232262;76423689;76423691;197921798;174721538;217319683;153486340;128977928;88607750;206965762;129370627;96997905;121902340;96996879;106700292;210768129;121903368;174721536;96993807;86377482;86377480;182715396;239339520;69995779;176160772;106828288;182061058;233047300;176161796;159124492;106826248;159123468;176164868;178653698;129371651;233051394;106695190;182061314;147857413;57022987;57020935;57020939;88606730;88607746;128976904;121903370;88607752;210764548;210768132;121902338;121897224;88607748;98566669;190710788;96997903;96997901;174721796;106826244;96995855;86377478;86377474;176163844;206311428;108923151;209979398;69993731;129370881;106826246;178524672;89915394;106828292;211813378;176162820;106828290;233047040;106826240;54155602;64750596;202379270;223219209;174328324;161224203;223217177;153889028;233313288;202375174;130941445;130941441;174327300;214697986;240128000;233321480;90835973;233311242;223219201;111153932;163578372;233309184;90836225;233310222;163581444;233319432;233314304;233308176;233311240;68559106;175902212;96211980;26214402;117834761;96209930;96208906;199755782;232654339;96209932;199754758;146804738;188751363;220990978;212338690;77336067;212342802;212340738;212338688;212337676;212336642;212337664;212339726;212339724;201197568;201197826;188750337;201198850;209324293;196347392;199495686;88216581;169611268;88216583;88217867;88217605;88216849;209324297;88218887;171446790;239089921;239077652;239089928;22283270;192808964;212736000;192809218;212737024;194779142;194778118;234627584;194778120;194775051;191106056;93324803;149947398;93324805;90177794;4589570;238551040;191105032;125832711;125831687;4588801;4588547;191107080;196088320;238685442;196083712;196084740;126225164;215485446;83232264;76420617;156636165;76424713;154144769;156634113;225184774;100273410;154142469;140517635;147857667;210767112;202115594;156638467;233049346;187432966;156636161;205654024;112990210;230429197;148638466;63312896;209324289;66196742;193334275;121769984;73539075;239090693;239088897;64620544;66588164;239087885;212737282;234627844;192679428;192808960;194779144;194904583;194778371;109321216;134481926;93324807;125830663;125833735;196089346;196083714;196218377;196215822;196086790;73537283;75766277;75769351;73538307;88218629;239085579;239089675;239077654;197656582;192809988;192679426;212737286;212736262;212736258;212737284;212736260;234627846;109323264;134480902;134479880;134479878;134482950;134483976;149948422;93324801;128452353;93327879;93326853;93328903;93323781;93325829;196088322;196084748;196084738;196217348;196217350;196088326;196089354;196084744;196085764;196086800;196085762;104205312;232000516;54156602;54180177;173411333;54154541;54154537;231998722;54156610;232002562;124126729;124126725;147720196;174326276;75767303;14423299;66587140;66589188;239088904;64620806;239085825;192677896;212736002;192808962;194773513;134484998;134481928;109322240;134483974;134482952;134485000;109320192;134480904;93323777;93326855;93325831;93323779;93323783;196088328;196089350;196083716;196088324;196084742;196086788;196085776;196086784;196089352;196086786;196086792;196217870;196083718;104205570;198447108;138498;66585092;239087621;212737026;234627842;194779140;234627586;125829639;4588551;196089360;4588545;4588549;191104008;191102984;196085766;196083720;196084736;196089344;196083724;104205314;196085760;196085768;196089348;104205572;104205316;54176032;54156589;54153558;54155594;205129731;54178121;232001538;54157634;54182225;232000772;173280261;54157630;121373190;153889030;99754753;26738692;14160908;159125516;212206592;59246594;230691343;233046274;212206594;87033352;62134796;155716614;155714566;168037380;55837188;226494982;62260994;226624513;28184069;175769604;120195591;84805899;120195585;28184321;120195841;203032068;28184323;183371264;106959884;106956812;197266442;28184065;202899462;106960908;106955788;202899715;202903042;59508746;110895617;153885954;205392129;170136582;101451522;174983174;183243789;221250821;171838982;165284876;232654349;181669892;146146566;232654343;220728839;232653317;232654351;116394503;177212674;221252869;114427393;116393479;116395527;221382144;221251595;190187523;190187525;181666820;167250951;114427397;147720194;233317378;233320458;208145414;233317386;233320454;136446468;233308162;233313286;233315328;54539297;218892294;198970374;233320456;232004608;189925379;112467209;153889792;60040193;169347079;138240;26084354;54525952;135272451;54535204;156898820;203423750;144971776;152594;149773;159652870;104597001;59507722;135400963;203427846;237771808;237776954;237778976;237773882;237897788;237778978;237902893;237765640;237896749;237772832;237768730;237898771;219941896;66323460;219939850;66325508;147196162;72089604;72089606;182717444;182718468;90439680;149164038;108922127;108922121;149163014;108010241;108790022;113252867;187959560;108012289;174983170;172100621;88216845;88216579;88217880;88217886;216929801;30803970;216929797;216929795;190846464;190847488;73537027;22283272;239088651;190845440;239087873;239086603;22282248;183506944;54791186;203032070;219943946;85986052;219941898;85983750;66322436;220071936;23201030;72221698;185077507;239337472;182716420;224920834;209980422;190187527;149160966;108790028;149161990;108922124;108009217;113251841;187959558;205785116;182453252;108011265;205259783;113251843;190187521;218103808;240390148;233319430;232002818;183112708;233314314;233316354;233316352;232003588;233312268;233308164;153884930;153878528;112463113;135400967;240390152;218890246;232002820;232004866;161613062;173672962;150209544;143138827;218893318;153886982;189926915;54538775;153885696;169346055;235147526;54181193;173411585;233313280;233310216;157552645;213125122;171312646;211551234;213124098;233312258;213125120;213125126;72361988;213124106;104336903;104334855;213127172;213255170;162795542;213255172;213125124;162793490;162793500;162791430;240650240;162793494;181147648;233314310;162795530;162795538;162795550;197004288;162791452;119278087;162795546;233309190;168562690;162791442;162795524;210243590;233311238;206179848;119277063;233312262;162795520;162795536;233310218;162793474;232001536;162791440;162791446;168691712;233318402;162795544;233319428;178914820;162795548;162791444;159652874;233316358;178914822;159652876;233314306;202377222;237897749;237901856;237907974;84544005;237785150;237765660;237909024;237911087;237787648;237777922;237911048;237902869;237766671;237900821;195432966;195300367;195298319;195301635;130285572;226234883;55053318;76421641;66847748;66846724;173147138;62917638;66848772;157026309;173021185;174067204;200804356;183895560;200805380;218629126;61865992;137370371;241441797;147860739;139727108;192419848;61998088;147858433;57019915;193729543;95815683;172886018;189533193;224792325;57025031;57024007;235675395;166986758;166987782;235673868;57021957;193725447;224792323;163316743;232004612;54179153;71304198;71305222;54153538;231997444;201326852;54156626;54180169;201854210;54157650;201852164;126226186;169216006;129762310;153890054;153885956;156898824;59518468;221775366;161089542;221776390;183505920;221778438;131596288;72621056;60040449;123209732;183507976;216273164;183508992;60040195;107217924;183509000;183504396;183508996;99756545;215222531;237780992;195431940;195303938;195300360;195430918;223348508;130287620;87294475;226234881;223348498;55051270;87297547;173021187;226234885;87298571;55050246;173147136;55054342;87300619;66849796;66850820;168953872;87299595;87296523;142215690;62915590;233308174;205129733;171185409;233310220;233309198;72355844;181147654;213123078;157549573;213256192;206179840;213127174;213255180;213126150;90835969;213256202;240655360;72358916;181147656;240659456;206179846;162791424;162793492;162791454;162793484;210240518;162795526;162791426;206179844;178914824;216533504;119276039;162793498;233308168;178914816;162795528;168691720;181147650;202376198;233313290;233309194;197004292;178914818;183112714;231998466;162793488;162793502;233313284;168691728;162791428;197004294;136316420;162795540;162791432;235143425;107220996;57936387;153883648;94114822;185992194;123210756;189925383;57935363;221777414;161089536;161613064;153884672;210634240;183505924;183506952;54788096;198447110;41947393;41945859;22809606;184812557;9;68557826;224136198;224134150;68557828;99752707;153890816;203424774;142854;161089538;138246;138244;99754497;1545;235143427;198445317;107223044;104992261;203161606;227283204;38667264;237906965;76940290;38667266;104989193;203162630;104989191;237910024;99756549;209586688;237776924;207751172;237766703;209586694;209585672;209459718;237764616;209586692;97388035;97388063;237769756;56361220;152832004;237770810;237778959;97388061;207628290;38667522;237768706;97388039;207751168;207627523;222300418;97388059;97388037;207622403;237772841;107225092;221643776;68557824;68558848;76423685;156638465;140514563;154142214;195036162;140515587;202244622;225183750;158468102;202118656;177482760;237771795;177472526;102764039;237789242;237771834;237902895;237770791;102763015;198707206;237902882;237785626;237766684;237764640;177483784;237770765;237898760;237769749;237766688;177482758;237906989;237901884;237776896;198705158;237898784;237771778;237898812;237903878;237766669;237767719;237898810;237791284;237767734;237899782;237766682;237911061;237765679;237773852;145490179;237774906;237776902;237775874;237764662;237768756
1769498,27,26,169348096;168560640;169350144;169346048;169345024;239602714;239614490;239603738;239613466;169349120;205788172;169347072
-3801152,-32709,-32704,54163264
-196657,-32764,-32719,126092052
-3407935,-32715,-32705,54160191
-3670083,-32711,-32701,54162243
-5242957,-32687,-32691,54174541
-3866681,-32708,-32711,54163769
-3342423,-32716,-32681,110102528;110100486;110102530;110103552;110101504;110100488;110100480;110101510;110101506;110101512;110103558;108793118;110100482
786434,12,2,236716546;236718080;68422153;236717056;235405571
-3932229,-32707,-32699,54164293;110887428;113247749
-3539012,-32713,-32700,54161220
-131102,-32765,-32738,126092545
