protocol	opcode	schema_fingerprint	field_schema	client_owner_action	client_context	server_directions	server_references	server_status	evidence_grade	next_action
Connection	mik	29a2b458ea205d417da7ca1abf2a85fc6560a89813a5ad9db8ddbd5273ae43c6	1:string gfge; 2:string gfgf; 3:repeated int32 gfgg				0	shape-known	C	Locate client feature and capture a journey.
Connection	mim	11e897ff95768d88e0001fed521e0c808607b469e075a20949682f0704cd8bb3	1:mik gfgk; 2:optional mij gfgl				0	shape-known	C	Locate client feature and capture a journey.
Connection	mio	26b873277928ba443d4d5bd065adc8b778f7109c064f46adb456e191175ab6da	1:mhf gfgr; 2:int32 gfgs				0	shape-known	C	Locate client feature and capture a journey.
Connection	miq	04c1c8b05e0d239d0f63c12d8a7445706689fd4706aa51a9aee3adb518dee0c2	1:repeated mit gfgw; 2:repeated mio gfgx; 3:bool gfgy				0	shape-known	C	Locate client feature and capture a journey.
Connection	mit	ad8c0dbf6ed935cf4570b808d83f194b761560ac12921b3eb8880f8f011ab4ff	1:miw gfhc; 2:mir gfhd; 3:repeated mjg gfhe				0	shape-known	C	Locate client feature and capture a journey.
Connection	miw	d1c8cc953ed5aec4e37c75ac917747151baf31a779c19413663ae77e82517f05	1:int32 gfhi; 2:miu gfhj; 3:mhf gfhk				0	shape-known	C	Locate client feature and capture a journey.
Connection	mix	2bac6ffceebb8253ba99f796e521e21d52d69880a747c39d0e0bcebe47a140d2	1:int64 gfho				0	shape-known	C	Locate client feature and capture a journey.
Connection	miz	cd4bdb60d190f4c14274cef4b061f9c64258adf46e9a7445aae8876bd6aa7540	2:mja gfhs; 3:mjb gfht				0	shape-known	C	Locate client feature and capture a journey.
Connection	mja	b091a2082a45fa25477ff37ea356ab2e58fa9f949cd5c9a43b53846dc583eeb4	1:bool gfhy; 2:int64 gfhz; 3:string gfia; 4:string gfib; 5:miq gfic				0	shape-known	C	Locate client feature and capture a journey.
Connection	mjb	52c5451e623421892bdc449d5250741f6fcd60b47e1e92d267e9b08c5eee642c					0	shape-known	C	Locate client feature and capture a journey.
Connection	mjc	af112fadfdeaa00e2eb1445cfb7ea2f672f87b300dc95b5941af1816930f84bf					0	shape-known	C	Locate client feature and capture a journey.
Connection	mjg	c4d817cb655fd36f43245644f51461e6bee8f990336f36cc7553e07f14700f55	1:string gfim; 2:mje gfin; 3:mjd gfio; 4:int32 gfip; 5:string gfiq				0	shape-known	C	Locate client feature and capture a journey.
Connection	mjh	bfe9a0bf35f5cd200a0ad2d776cff6cc8ad7713c2f8152e3bbcabd5c44cdc18f					0	shape-known	C	Locate client feature and capture a journey.
Connection	mjk	0ae728901293fd2fea42932425b80ca96644ca78ee4ecacefb03a252b2d74e7d	1:string gfix; 2:string gfiy; 3:repeated int32 gfiz				0	shape-known	C	Locate client feature and capture a journey.
Connection	mjm	2bbfcb1e10cf8bb538643a7e5761cf03ae3ab1d8946e64a7ac977239a2b2d861	1:repeated mjk gfjd				0	shape-known	C	Locate client feature and capture a journey.
Connection	mjo	2684f7bf976afdf6476929c16524fffead3c8ec3cb00c75fb51e5cff7b18ae47	1:mjm gfjh; 2:optional mjj gfji				0	shape-known	C	Locate client feature and capture a journey.
Connection	mjp	8c9301cf9d41bb66f7e899b974732b2e4ebe90e5bff459fdd0c59e67bc5271c8	1:string gfjo; 2:string gfjp				0	shape-known	C	Locate client feature and capture a journey.
Connection	mjr	fc18c704ecd1e28f03bfec08b810319c32c0460217b0f4862e384b84b710787f	1:repeated int32 gfjt				0	shape-known	C	Locate client feature and capture a journey.
Connection	mju	752c1db7c42aca1b3b7533e565cc230a94c0bb1649b27c4165bf97c3a481d8d8	1:mjs gfjx				0	shape-known	C	Locate client feature and capture a journey.
Connection	mjw	1b5ea52a5052476f3090066d05826c0b2826c8811dd6c0588373524dbc902b03	1:mjr gfkb; 2:mju gfkc				0	shape-known	C	Locate client feature and capture a journey.
Connection	mjx	40062aafb60ead88ae88eddbac80e6ca0e9e0ee33e7348bae535b7678f28abce	1:string gfkh; 2:string gfki; 3:repeated int32 gfkj				0	shape-known	C	Locate client feature and capture a journey.
Game	hdw	e6a65662dd672a556082b5d8e298e72613669e5e414d15f112a2fc8016d0d9f3	1:Any flkw; 2:int32 flkx	gjv::Encode	gjv (toca a 4 mensajes): Encode, Decode		0	shape-known	C	Locate client feature and capture a journey.
Game	hdx	e8863bc7c13c934465813ed384ca5b5d6bc51eb757d3293547663cdde8e1096f	1:Any fllb; 2:repeated int32 fllc	gjv::Encode	gjv (toca a 4 mensajes): Encode, Decode		0	shape-known	C	Locate client feature and capture a journey.
Game	hdy	03307f03bce7f08c99c23ba8d0ee4986d1223cc9669ba45c47e6299cb44ae415	1:Any fllg; 2:int32 fllh	gjv::Encode	gjv (toca a 4 mensajes): Encode, Decode		0	shape-known	C	Locate client feature and capture a journey.
Game	hea	13a970e1c061304a7bdccdffeb15a45e566df6279018a7cf4e07e1d59dd2aac6	1:hdx flll; 2:hdy fllm; 3:hdw flln	gjq::ChannelRead0 | gjv::Decode | gjv::Encode | gjo::BindAsync	gjo (toca sólo a éste): ChannelRegistered, ChannelActive, ChannelInactive, DeregisterAsync, ExceptionCaught, DisconnectAsync, CloseAsync, UserEventTriggered, ChannelUnregistered, Flush, HandlerAdded, ConnectAsync | gjq (toca sólo a éste): ChannelRead0		0	shape-known	C	Locate client feature and capture a journey.
Game	hed	df3b5155cad5689d69d76e19c15a68fc9a209c8825a9e1ddb87e64dd29042fc1					0	shape-known	C	Locate client feature and capture a journey.
Game	heg	267e13d20f6adb643839b72a41ced5c502a365aba2143686d1f3453834992f60	1:int32 fllw; 2:hee fllx; 3:repeated hex flly; 4:string fllz				0	shape-known	C	Locate client feature and capture a journey.
Game	heh	c2f61a3df15824a6203fb9f91952f22cda9eaf8848229ed9f81c04667a3ab691	1:lba flmd; 2:int32 flme; 3:int32 flmf; 4:int32 flmg; 5:int32 flmh; 6:string flmi	bo::mow			0	shape-known	C	Locate client feature and capture a journey.
Game	hei	c7c75ecb94b25fd64d49992df8507f06d8d5220fdc534aaf571185dfb7cde28e	1:repeated heg flmm	egf::bov | egf::hrl | egf::lv | egf::orw			0	shape-known	C	Locate client feature and capture a journey.
Game	hek	2682bf36b62b9fb03476ea91e514d3c4962b384711076f0efda116aefd764dda	1:bool flmq; 2:bool flmr				0	shape-known	C	Locate client feature and capture a journey.
Game	hem	74bc3ec6c1ac570626a8638a04101c160b1730a577fd2cf9b4ee42342d261035	1:hek flmv; 2:repeated lfo flmw				0	shape-known	C	Locate client feature and capture a journey.
Game	hen	0b0e8e523b7acde851d0f83094a48512f6d52dd10dd67325ff3cce571e6d494f	1:repeated int32 flna				0	shape-known	C	Locate client feature and capture a journey.
Game	heo	998c0051e9abb1c7da7645e0f0fc14413c6317f30f17b718e2e68eba8a530b10	1:optional int32 flne; 2:int64 flng; 3:int32 flnh; 4:map<int32, string> flni				0	shape-known	C	Locate client feature and capture a journey.
Game	heq	37fa1a68e62aff98ed7fe69320905ca586fc5e8ed62f73e1a690298b49da4c6a	1:string flnm; 2:repeated int32 flnn; 3:heo flno; 4:repeated int32 flnp				0	shape-known	C	Locate client feature and capture a journey.
Game	her	00117a3a7ef4451b4b3b2b1b5d79ecec5b36bae0955a4b482b1f864be671e699	1:repeated int32 flnt				0	shape-known	C	Locate client feature and capture a journey.
Game	het	c9e20c556410d7da5474c71b7218cced9cbd6f61f5f4de565d19133e662f05f0	1:string flnx; 2:optional bool flny; 3:repeated int64 floa; 4:string flob; 5:repeated int64 floc; 6:bool flod; 7:int64 floe; 8:optional int64 flof; 9:string floh				0	shape-known	C	Locate client feature and capture a journey.
Game	hev	715d144d204a098cfeae1f88927217aa91e96e9626793d3e3c87ede695bc796a	1:repeated int32 flol; 2:hes flom; 3:optional string flon; 4:het flop				0	shape-known	C	Locate client feature and capture a journey.
Game	hex	4bb4419244afe693bd2f8cc806b5acaea33029b4c3240cae3e91f67ac0fdc424	1:her flot; 2:heq flou; 3:optional int32 flov; 4:optional int64 flox; 5:hev floz; 6:optional int32 flpa; 7:optional int64 flpc; 8:hem flpe; 9:hen flpf				0	shape-known	C	Locate client feature and capture a journey.
Game	hfa	d1bba8faf0ba72f1d9d5c8013e4aeef46f2acfabb69416e9029db32799c9e362	1:int32 flpk; 2:repeated hfl flpl; 3:hec flpm; 4:hfl flpn; 5:hfl flpo				0	shape-known	C	Locate client feature and capture a journey.
Game	hfb	a04a1ce863a39d8e035ac9a7332dc6cceb478d2fff0f11ae75433aeb26484dce					0	shape-known	C	Locate client feature and capture a journey.
Game	hfd	147bc975c026dc27ea0d8761ee247085f728dbfaf0f55d7b5ccdfb2f20432209	3:hez flpv; 1:hfa flpw; 2:hfb flpx	egf::xlt			0	shape-known	C	Locate client feature and capture a journey.
Game	hfe	aaae1ed0cc0a6031d0c1e3d29dce896d819d207d5ebda2c72b614314c36c8d2a	1:repeated hgc flqc; 2:repeated hgc flqd	egf::ghf | egf::lyj | egf::xlu			0	shape-known	C	Locate client feature and capture a journey.
Game	hff	8c067a1493e5d5b56279545dc3bbe1144447cafeed47ffb9882ff39d713d4d47					0	shape-known	C	Locate client feature and capture a journey.
Game	hfh	c5fb778affb433b5d44f75d328a6c090baa1f192318acd68653d22f1a34b39c9	1:hff flqk; 2:int32 flql	bo::fbi | bo::glv | bo::kvb | bo::mox			0	shape-known	C	Locate client feature and capture a journey.
Game	hfi	b0cacd270a769c058b16e0318a7f5e2552cba8b8d4a6a937485ab8de3dc6018b	1:string flqp; 2:int32 flqq	egf::bnx | egf::dws | egf::igs | egf::rw			0	shape-known	C	Locate client feature and capture a journey.
Game	hfj	8d73dcdb398c9552a08549d3cd6444b8775d04fb6fea50396ae2003b62a98ae8	1:string flqu; 2:lld flqv; 3:string flqw	bo::cgm | bo::jyp | bo::ltt | bo::mov			0	shape-known	C	Locate client feature and capture a journey.
Game	hfl	88ef5bdf6ac755b86987419e9a75767eb2315d6c2beb2c01e23a8d9ea718e09c	1:int32 flra; 6:int32 flrb; 2:hfh flrc; 3:heh flrd; 4:hfj flre; 5:hgb flrf; 7:hed flrg	bo::bdw | bo::dyw | bo::eox | bo::hu			0	shape-known	C	Locate client feature and capture a journey.
Game	hfo	387f0f512af62f324b87678433d7c54d09458e3b06f50da438b59ccc319f5d0f	1:hfm flrl; 2:string flrm; 3:string flrn	egd::kgw | egd::npd | egd::oox | egd::xks			0	shape-known	C	Locate client feature and capture a journey.
Game	hfp	84a610f3704f5e3e484ccb4d2c89aea9a0b554d0001a8d9e213e7ac9a746018b					0	shape-known	C	Locate client feature and capture a journey.
Game	hfr	592539ac80e0591bf35cdd58d4e8e1c8be7772fa22c6f71239e5a4a832fc9041	1:hfp flru	egd::ced | egd::gce | egd::mb | egd::xku			0	shape-known	C	Locate client feature and capture a journey.
Game	hfs	d19a4fe47b1f048bb1f1044cc1a64c68269c47abb402bb628a171bc71d37e7d8	1:string flry	egd::efk | egd::fsh | egd::gqs | egd::kvf			0	shape-known	C	Locate client feature and capture a journey.
Game	hft	3b0d6bb378964af7ae501c496fe09d205c84fe8bcd75b1e3f2b039ed6eb290b5	1:string flsc; 2:repeated int32 flsd; 3:repeated int64 flse; 4:repeated string flsf; 5:optional int64 flsg; 6:string flsi; 7:int64 flsj				0	shape-known	C	Locate client feature and capture a journey.
Game	hfv	58dd2d6f0f70db7430a514c27234ad07346d28fbfa2ea3640c560f66d07bd32b	1:hft flsn	egd::bhx | egd::bv | egd::xkw			0	shape-known	C	Locate client feature and capture a journey.
Game	hfw	3f51b3fcae7187a87a71d3cee5a5fb933ffe9616610dfac0cffdfa813b565151	1:string flsr	egd::dhh | egd::dmr | egd::ebe | egd::ebk			0	shape-known	C	Locate client feature and capture a journey.
Game	hfx	fea65865f13aec6027a97150f8eb5f2f76593a8b91d2489118c8cc1c50611020	1:repeated hfl flsv	egf::ldg | egf::xlr			0	shape-known	C	Locate client feature and capture a journey.
Game	hfy	b77fdc14fadfcd46195c8702ec03bba9e0fb15938b8aa4d97de2a2f70ce9cf09	1:int32 flsz	euv::bcuh | euv::bnt | euv::kub			0	shape-known	C	Locate client feature and capture a journey.
Game	hfz	39ac6abd94088cb96837f71bb040355209a0a0ce3dac66087a30693d829a9e11		egd::cqm | egd::eym | egd::lxx | egd::ux			0	shape-known	C	Locate client feature and capture a journey.
Game	hga	dd8a32d558b41f365e9c9d4e304e2cf9949655f60448bb6ee288f16a6fdbb953	1:int32 fltg; 2:optional int32 flth	euw::bcu | euw::bcuj | euw::btf | euw::gsw			0	shape-known	C	Locate client feature and capture a journey.
Game	hgb	2c3e4ed1984d432819a8f45a641017d9936100d6490c33b0d8f5253a25398789	1:string fltm; 2:int32 fltn; 3:lld flto	bo::dpd | bo::fgb | bo::jqs | bo::mhg			0	shape-known	C	Locate client feature and capture a journey.
Game	hgc	f37d4df84cee8f02119983708b1ae74aff09446939ef7bd926a649d7de65b7b9	1:optional string flts; 2:string fltu; 3:int32 fltv; 4:optional string fltw	bp::djq | bp::dvs | bp::idg | bp::mpc			0	shape-known	C	Locate client feature and capture a journey.
Game	hgg	f25429b0c1f3b7ab9c3731c59c68ada199c23904d9e123997f0dc6e63f99b927	1:hge fluc; 2:optional int32 flud	dyx::ban | dyx::lcy | dyx::omo | dyx::uik			0	shape-known	C	Locate client feature and capture a journey.
Game	hgj	9a0737581c6a0484a13b7963227ba4451fb63f3a852771a78733ad46a3ef4d10	1:hgi fluj	epx::bavn | gie::bkii			0	shape-known	C	Locate client feature and capture a journey.
Game	hgm	7c60e4d6c2c7e5316bfc75e085491f8780db9abf02b42d9aa8a83a6d6ff1863e	1:hgk flun; 2:hgi fluo	epy::bavu | epy::dcd | epy::fct | epy::nus			0	shape-known	C	Locate client feature and capture a journey.
Game	hgn	3c5a5e8b73d86dc27e5ab8104c0d2a6151a47a18e2cd8c017b857f93343a4ff6	1:hgi flus; 2:hgi flut	epx::bavo | epx::dia | epx::dyg | epx::nxq			0	shape-known	C	Locate client feature and capture a journey.
Game	hgp	4f19f7d4254f641c8026f47b70f7d2f080d49ead9aabed6809783b04f46c3fcd	1:int32 flux; 2:lbo fluy				0	shape-known	C	Locate client feature and capture a journey.
Game	hgq	0e884dcc71f5e1189197fbc847a064aedc27b080d54e319657c256b74c4ecec7	1:int32 flvc; 2:lbo flvd; 3:int32 flve				0	shape-known	C	Locate client feature and capture a journey.
Game	hgr	e877a7fdacebf69729363d5898f9b229ac9575b9918443b01109a857f28393ae	1:int32 flvi; 2:int32 flvj; 3:lbo flvk				0	shape-known	C	Locate client feature and capture a journey.
Game	hgu	38fb3a6059820d35fe0db497a30378a4c76ebcd44ab4d7c4b035e370d8f651e8	1:hgs flvo				0	shape-known	C	Locate client feature and capture a journey.
Game	hgv	61e153450dc0520ea9874b4e6c13f0a073f8465c4c8b6382199602c27e02599a					0	shape-known	C	Locate client feature and capture a journey.
Game	hgx	3bcfbaca9fbb1d382e89a0090a6c2a14df5c524e499e879c89c7b154343d188f	1:hgp flvv; 2:hgq flvw; 3:hgr flvx; 4:hgv flvy; 5:hgu flvz	he::.ctor | epy::bavw | epy::opi			0	shape-known	C	Locate client feature and capture a journey.
Game	hha	4ced3e8040257312c3d16e4437e963d298c474bcb78e4c1a277c0529e8e7ab14	1:hgy flwe; 2:int64 flwf				0	shape-known	C	Locate client feature and capture a journey.
Game	hhd	deefbb2e0da0711b51ad78117b826d2402b8c0ebb41371306b5145303285a4b5	1:hhb flwj; 2:hhb flwk				0	shape-known	C	Locate client feature and capture a journey.
Game	hhf	81b1b62f114aa9e0b8a08b7bf6f0e51dfdf666266663662aad2290acd832a101	1:int32 flwo; 2:hhd flwp; 3:int32 flwq; 4:int32 flwr; 5:repeated hha flws; 6:int32 flwt; 7:int64 flwu; 8:int32 flwv; 9:hgi flww; 10:repeated hgx flwx; 11:int64 flwy	epy::bavw | epy::opi		S2C/push	2	shape-known	C	Verify the send against a client observation; no handler is inferred.
Game	hhg	4ca35a194e3f74f82ef20df97ccbb3f915bb2da5d5b44d12c6dc0665099cefd6	1:repeated int32 flxc	epy::bavz			0	shape-known	C	Locate client feature and capture a journey.
Game	hhh	380b8e3ed6e91dd74eb1bc66a962e0c5993884959d5c822242fb1669aa079c6b	1:int32 flxg; 2:hgi flxh	epx::bavq | epx::csk | epx::dp | epx::kni		S2C/push	2	shape-known	C	Verify the send against a client observation; no handler is inferred.
Game	hhk	1aad92c2ce6508969f256c50f65c68466b55df292f7f336cfed814b4bd0e7cab	1:hgi flxl; 2:hhi flxm	epy::bavy | epy::bve | epy::kki | epy::mdj			0	shape-known	C	Locate client feature and capture a journey.
Game	hhl	c55a9b07109e9f5ed10ea8da6db9f5b86e48d8f0785465d8e9b00b7a0e4fd3e2	1:bool flxq; 2:int64 flxr; 3:repeated string flxs; 4:int32 flxt; 5:optional bool flxu; 6:repeated int32 flxw				0	shape-known	C	Locate client feature and capture a journey.
Game	hhn	149b2c7d8b540ad32e5d7552b0eb5b1f14059532b96f6c2ae8b30098f4f079b6	1:hhl flya; 2:int32 flyb	epx::bavr | epx::bld | epx::cuj | epx::ehu			0	shape-known	C	Locate client feature and capture a journey.
Game	hhq	d0ad3802b77170700aa43b8d38ef838cf64bffcc15e062bb9cde6bf320fec63e	1:hho flyf; 2:int32 flyg; 3:hgi flyh	epy::bavx | epy::eiq		S2C/push	1	shape-known	C	Verify the send against a client observation; no handler is inferred.
Game	hht	459d28dbec1f62f1a801240d6ef82cb91ec24432a4aae837faa268fe79bf7db9	1:hhr flyl; 2:hhr flym; 3:optional int32 flyn; 4:hgi flyp	epy::bavs			0	shape-known	C	Locate client feature and capture a journey.
Game	hhu	ff84bd637663009b4231d22bd8b5304103544631512643f61498abede9148ea7	1:string flyt; 2:int32 flyu; 3:int32 flyv	eoy::banf | eoy::jof | gie::bkii	eoy (toca a 12 mensajes): ClickOrientation		0	shape-known	C	Locate client feature and capture a journey.
Game	hhv	c62fb44878cca358dc7d0b0075f68b4b9d846f455df0e0cd1e91cf42905f5b0d	1:hgi flyz; 2:int32 flza	epx::bavp | epx::mnq | gie::bkii			0	shape-known	C	Locate client feature and capture a journey.
Game	hhy	724042e8257fd226f2720c9a0636a44b4dc08dad431cdf8f0b69aee3eb6162ca	1:repeated int32 flzf; 2:repeated int32 flzg	euy::bcwd | euy::bzi | euy::cxg | euy::itj		C2S/read, S2C/push	2	mapped	C	Replay and verify validation, persistence and S2C ordering.
Game	hhz	34f79085113f46b714555d9d421a249f4baa79f3cda831bcb7438dc9ed5e7a5f	1:int32 flzk	euy::bcwh | euy::czx | euy::kco | euy::ncg			0	shape-known	C	Locate client feature and capture a journey.
Game	hic	13faa0201060f60b89f782c2c435c4cc8bd867071952874574ec1efe28e2b9ae	1:int32 flzo; 2:hia flzp	euy::bcwi | euy::dmm			0	shape-known	C	Locate client feature and capture a journey.
Game	hid	6f92b1ff82113dc15ce6f2cb308549e72352fd1e9f7ce919a6cc384ad023003b	1:int32 flzt			S2C/push	1	shape-known	C	Verify the send against a client observation; no handler is inferred.
Game	hie	ad1bb165050d564e272f7772e416a703f78be490834f90e0bfabd19ce8e7b923	1:hhx flzx	euy::bcwj		S2C/push	1	shape-known	C	Verify the send against a client observation; no handler is inferred.
Game	hif	995183081729658be77307f65fb0e787e4366c59c5d57bfdaf95ae0ef448d35f	1:int32 fmab			S2C/push	1	shape-known	C	Verify the send against a client observation; no handler is inferred.
Game	hig	ed2e056bb249fc930ac468ef39a50d2da0fa1609964fbf2d6b33fc0ab4ca2b59	1:int32 fmaf	euy::bcwf			0	shape-known	C	Locate client feature and capture a journey.
Game	hih	c6a393784898a78240fed4b848ff5f6d67cb54ec524c3e4082cefba960231a33	1:int32 fmaj	euy::bcwe | euy::jpm | euy::nsh | euy::osh			0	shape-known	C	Locate client feature and capture a journey.
Game	hii	65764893b1237ed5c0dca0951b094d052177e781230e882aefb7042add0af44b	1:hhx fman	euy::bcwg | euy::csp | euy::fow | euy::ild		S2C/push	1	shape-known	C	Verify the send against a client observation; no handler is inferred.
Game	hil	100a30c35358a8c2bb090b7cf412106d1e3bdfeeeb1a15696e1f907309d68429	1:int64 fmas; 2:int64 fmat; 3:int64 fmau; 4:repeated int64 fmav; 5:int32 fmaw	ffq::bedu | ffq::ikt			0	shape-known	C	Locate client feature and capture a journey.
Game	him	71db372bd2b27b40f018a1c3c76de5a7d89b9e33fb4205c0129bcd10b7d23781	1:int64 fmba; 2:int32 fmbb	etw::bcjn | etw::kcs | etw::oaj			0	shape-known	C	Locate client feature and capture a journey.
Game	hin	0f1e02b3774ec7554eb98c7355a7275c4bf1b917554a43e6620dc6b327da6d58	1:int64 fmbf; 2:int64 fmbg	eon::baiy | eon::eft	eon (toca a 10 mensajes): SendLeaderPositionEventWhenReady		0	shape-known	C	Locate client feature and capture a journey.
Game	hio	46f122c44fd6e0684420128f930ce95ffab89811c49a629d22ddf1b99eaf8ad6	1:int64 fmbk; 2:int64 fmbl	ffl::becd | ffl::bnt | ffl::eak | ffl::gvm			0	shape-known	C	Locate client feature and capture a journey.
Game	hip	b421faf480168b7228b48a885ef117458a589d59f8b1d3f5e3bc5997444c182f		eoa::baeo | eoa::dbz | eoa::haq | eoa::hx			0	shape-known	C	Locate client feature and capture a journey.
Game	hiq	310b9a691fc2eced29c725b9debbe2f3f212fff13176422a4a04b34c3e4819b1	1:int32 fmbs; 2:int32 fmbt; 3:int64 fmbu	ffq::bedv			0	shape-known	C	Locate client feature and capture a journey.
Game	hir	13cf62cd98d477136effe5b1ae01e47b9d80a836d1e23bceabe1919057f40068	1:int64 fmby; 2:int64 fmbz; 3:optional string fmca	etw::bas | etw::bcjm | etw::dbx | etw::efi			0	shape-known	C	Locate client feature and capture a journey.
Game	his	bf5f5b34128cb9bcd9569b0b64955b51336cebc1e0c6679f7b38a2d60a0a91c7	1:repeated string fmcf; 2:int64 fmcg	eoa::baer			0	shape-known	C	Locate client feature and capture a journey.
Game	hit	ba4a961a242f34d52ba536f979883a8c0dda5201b3bb443bcec8a73c88872ce2	1:int32 fmck	ffq::bedt | ffq::iqu			0	shape-known	C	Locate client feature and capture a journey.
Game	hiu	509abe4f10dbb0c85585315639d3ab15686b9d70e36fff348e7a40f7157997e7	1:int64 fmco; 2:int64 fmcp; 3:string fmcq; 4:int32 fmcr; 5:int32 fmcs; 6:int32 fmct	ffl::becc | ffl::ggj			0	shape-known	C	Locate client feature and capture a journey.
Game	hiv	cda7b31323b17499e4dafdf4e3f7299f97854067b1c0e2239bda64f32593a0c3	1:bool fmcx; 2:bool fmcy	ffd::bdyl | ffd::bmg | ffd::lwp			0	shape-known	C	Locate client feature and capture a journey.
Game	hiw	9633913b3cadd51d7e88ba5d46d795143635f77096640d3be04dcbc11a5e04aa	1:int64 fmdc; 2:int64 fmdd; 3:string fmde; 4:int32 fmdf; 5:int32 fmdg	eon::baix | eon::bam | eon::kgu	eon (toca a 10 mensajes): SendLeaderPositionEventWhenReady		0	shape-known	C	Locate client feature and capture a journey.
Game	hix	774da12b6aa3ddbbfd4980bbf41de01fa280f463d2bb148b80bc9f9af9380500	1:bool fmdk	ffq::beds | ffq::dhx | ffq::hxh			0	shape-known	C	Locate client feature and capture a journey.
Game	hiy	6f35456a9fe9d72b35b7b4ac29e413283e1ee6b2f39060dd81b4111d6e36e038	1:int64 fmdo; 2:int32 fmdp; 3:repeated int64 fmdq; 4:int32 fmdr				0	shape-known	C	Locate client feature and capture a journey.
Game	hja	c4a8541beb903d92045af51e4a3dd687c45fbf447aebb8b2f5d42604a3fba718	1:bool fmdv; 2:int64 fmdw; 3:bool fmdx; 4:hiy fmdy	ffg::bdzn | ffg::div | ffg::knk			0	shape-known	C	Locate client feature and capture a journey.
Game	hjb	36d0cb55099dc96aabbc49e27fc627524b4d226f225ea46b416514418aacb2ff	1:optional int64 fmec; 2:bool fmee	eok::baif | eok::bnt | eok::csg | eok::mdq			0	shape-known	C	Locate client feature and capture a journey.
Game	hjc	61f68b962642215e26d0f9cf7a8e522ae0f1a42c5d411d06b900f4a5a512ffe1	1:hik fmei; 2:hik fmej; 3:int64 fmek	eoa::baep | eoa::fyt | eoa::ina | eoa::ktv		C2S/dispatch, C2S/read	2	mapped	C	Replay and verify validation, persistence and S2C ordering.
